Repository,Pushed_on,description,category,useful,Notes
aakb/odaa_ckan , 2014-03-31 11:02:07 , Open data Aarhus - Modified CKAN ,local,,no description; fork CKAN
abulte/ckanext-countapicalls , 2012-08-06 20:51:19 , Simple API dataset hits counter,stats,*,
acouch/puppet-ckan , 2012-08-12 13:15:43 , Puppet manifest for CKAN in Ubuntu / Debian,,,
afomi/datacatalog-imp-colorado-ckan-net , 2010-08-24 18:36:30 , National Data Catalog Importer for colorado.ckan.net,,,
ag242/ckanext-custom_fields , 2013-12-19 15:01:38 , ,unk,,
alexandrainst/ckanext-realtime , 2014-05-03 12:49:45 , Build realtime apps with CKAN,function,,
alexaraujors/dadospoa_theme , 2013-10-10 18:47:58 , Tema para CKAN com customização para o Portal de Dados Abertos da Prefeitura Municipal de Porto Alegre,local,,
alexbyrnes/ckanext-mongodb , 2012-10-20 17:24:25 , CKAN extension for MongoDB,function,,
alexbyrnes/pico-ckan , 2013-04-07 04:40:55 , Easy open data development,function,,
aliceh75/ckanext-dev , 2014-03-25 12:21:49 , ,unk,,
andrewhoppin/OpenNYDemo , 2012-11-20 23:45:23 ," A demo site for OpenNY, an open data initiative for New York State, which adds some New York State data and custom images to the CKAN code base",,,
andytwigg/ckan-tools , 2013-02-15 12:56:12 , some ckan tools,function,,
anibalpacheco/ckanext-agesic , 2014-05-02 22:35:15 , Mirror of http://git.agesic.gub.uy/agesic-arquitectura/ckanext-agesic.git,local,,
AnnaGerber/ckanext-hideorgs , 2014-02-07 05:12:19 , A CKAN 2 plugin that hides the organizations feature from the web interface,function,,
apohllo/CKAN , 2013-06-18 11:48:13 , Ruby Client for Comprehensive Knowledge Archive Network,client,,
aron/ckan-style , 2012-05-21 10:41:46 , Hosting of the CKAN style guide while in development,,,
AwareTI/ckanext-iota , 2013-09-12 18:30:45 , CKAN extension for the IOTA,local,,
B2FIND/ckanext-b2find , 2014-03-26 09:43:29 , ,unk,,
B2FIND/ckanext-datesearch , 2014-03-19 14:04:12 , ,function,,
B2FIND/ckanext-eudatjmd , 2014-03-20 13:12:58 , ,unk,,
B2FIND/md-ingestion , 2014-05-06 16:49:38 ," Ingestion (including OAI harvesting, semantic mapping (see repo 'md-mapping') and uploading to CKAN ) of metadata in the B2FIND portal",harvest,,
bassosimone/nadia , 2011-03-10 17:22:55 , helper scripts for it.ckan.net,,,
berlinonline/ckanext-berlin , 2013-12-03 15:22:40 , CKAN extension for the datenregister.berlin.de portal,local,,
bodacea/ckandump , 2014-03-12 13:10:02 ," Code to grab essential data out of a CKAN node, using the CKAN API",function,,
bodacea/crisisdata , 2013-04-13 14:45:05 , Links to crisis data repositories (stopgap til I get my CKAN working again),junk,,
bopen/ckanext-mapsearch , 2014-03-31 09:56:27 , A CKAN extension to add an scale-aware map-centred search,function,,
calvis/cKanren , 2014-01-13 18:29:27 , Constraint programming language embedded in Racket,junk,,
cgueret/CKAN-network-builder , 2011-10-21 08:53:06 , Extract the content of the LOD cloud from CKAN.net,,,
chrisho711/ckanext , 2013-09-15 14:54:07 , ,unk,,
chungyuen/ckanext-dghk , 2014-04-23 01:49:11 , DGHK CKAN Extension,local,,
chungyuen/dataone-ckanext , 2013-07-25 05:59:45 , ,local,,
